,WkD,Comment,Cost,Ppl,地点,天气,体重,Keyword,Food,移动
1/23/2019,3,"早晨看了日文视频,要跟上不要落后.尤其词汇语法要吃透.在海口,电子产品只晚上用,全部戒除.跟去年比,视力退步, 耳鸣, 没有去年4月份离开海南的时候身体好.5月在山东感冒了一次, 今年一月感冒一次, 21日顺德也是一次恶劣经历(无需多提,再不去即可).在海口多做饭,多在海南四处走走.1.cut social network addiction(电子产品成瘾),limit to night. 海口注意饮食.少在外面吃,自己做饭. 2.休息眼睛.&&下午转了一圈,海大, 日月,兴趣索然,跟去年已经产生了变化,现在变得有针对性. Ptf: make sure short world wide ptf. Put on: energy, FX, ETF, vol, the widely you are spread, the better you are to reap off the benefits of div. (2/28: learning japanese is secondary to other things.)",0,jack,海口,雾霾,67.5,,小鸡炖蘑菇,
1/24/2019,4,"内地雾霾持续.幸亏逃了出来.什么事都是有第一机会做的时候一定做,越往后越被动.昨天今天海南全岛雾霾.为了缓解眼睛的strain,手机cut:早晨,晚上after 9.其余时候只用于地图. Don't be used as a tool.今天:买牛肉,中午炒肉片.西兰花.吃薯.多站立.以听为主,注意用眼.Social media:fb,xiaonei(renren), msn, msn space,wechat. Didn't yield any benefits/knowledge/long term. Replace food with real food,activity with real activity. Cut out processed food, cut out virtual network. Negative activities: wechat, streaming. Positive activities: 四季听钢琴, hangout with friends. cooking. Listening to Ted talks. Regulate online activity: 1.目的性 2.时间控制. && Sam Vaknin论点: 社交网络是邪恶的,鼓励恶意行为(博取眼球),低能思维,黑白思维,自恋行为(自拍/自恋/gay翻倍),思维同质化.社交网络用途:定时间地点.应该做的事: 1.把每天社交网络时间固定,给自己和别人形成conditioning. 2.只用来邀约,不聊天 3.不看不发动态.&&学到的:1.做现实生活中的事情,远离电子产品.Prefer面对面,不做网上交谈.",50,jack,海口,,,Cut social media,"中午:牛肉(半斤),西兰花,红薯.",
1/25/2019,5,"1.phone is a slot machine, people feel compelled to pull it. 2.constant fragmented attention will result permanent loss in attention 3.we bulldoze each other's attention left and right. It takes 23 minutes to re-focus attention after attention is lost. 4.the more external interruptions we receive externally, then more we train our brains to internally interrupt 5.conscious interruption needs to be by phone, block out unconscious interruption. 蜂蜜(288), coconut oil(75),pepper(30). Lunch:自制鱼香肉丝.(醋和糖1:1就ok) Dinner:炒豆角.在家里做饭cost远低于外面,而且健康,可以做到一样好吃.",450,self,海口,no smog,,,鱼香肉丝,
1/26/2019,6,"周二到海口.这几天状态很好,一直自己做饭,感觉比较健康.比珠三角的感觉好多了.海口问题是物价太高,老百姓对外地人有抵触心理.现在对很多人+事情也能一眼看透,做自己喜欢的事.没有utility的人不主动接触. 绷字精要. 1.增加对方投资,不接送,对方到达指定地点 2.不主动 3.不分享 4.不改变计划,对方只能fit in schedule.办事办一半, 用断箭来保持优势,用补锅来制造感恩.5.不显露情绪,无论正面和负面.深不可测.在去年7月份撞车事故的处理中,各方面的处理达到了一个很高的层次.现在也能看出来低级和高级的处理方式.远离低层的价值观(例如拜金,愤怒,反社会,低级套路),崇尚高级的处事方式:1.复杂,捉摸不透,性格不可测 2.深刻的知识和思想 3.最高级的是正面思维,幸福感和满足感,强者情绪. 4.赫赫然,不可琢磨,不可侵犯 5.讲事情只模糊讲外围,不讲精要 6.保持礼貌,客气和距离感 7.不投资关系 8.少情感/情绪 9.unreact 10.不在任何低档次场合出现.包括低档的人的circle,chatgroup. 11.不跟愤怒的底层和弱者来往 12.高级别社交,靠绷.13.远离lowB/等级低的人: 情绪写在脸上,格局低,轻易被他人影响,OCD,可预测,任何瘾,网络依赖,不分场合长篇大论,嘴太碎,偏见深,知识水平低,拜金,聊车/房/股(层次较低),情绪负面状态,抱怨,拍马屁,追星(脑残),长得丑而没有魅力的,挣扎在温饱线上的,没有深厚背景,根基很浅的.高段位: 看不出情绪,格局高,不多说,理性,没偏见,可讲道理,不喊叫,文化高,知识水平高,有思想体系,对生活有感悟,不聊低俗,聊文化,哲学,养生,文学,幸福感很深,行为有魅力,背景深厚,根基很深.女人高段位:温柔善良,有女人味,不慌不忙,性格好,幸福感强,情绪隐忍,顾大局. 男人高段位:不露情绪,有男人味,慢,unreactive,聊大不聊小,聊高不聊低,如鱼得水,做人隐忍,有手腕,根基深,选择多,为人处事令人舒服无压力.",150,self,海口,smog,,,"炒牛里脊肉.进步:炒两次,第二次爆锅,最后勾芡.",
1/27/2019,7,"解决所有生活中的大问题,需要转回核心竞争力上.核心竞争力强大了,很多问题迎刃而解.核心竞争力提升:更多地点选择,接触更优秀的人,身体/心理健康提升,家庭困扰解决. 1.职业 2.Marriage/children.把资金活用,而不是消费,这样才能做大.淘汰所有固定支出,扩大固定收入.1.把HK迷你仓淘汰. (仓内价值远低于存储费用).招行的信用卡有年费,点数用完后淘汰之.2.没用的手机号淘汰,降成普通计划.3.保持自己做饭,更健康,实惠. && 1.一次150g三文鱼即可,注意把白色脂肪切下,吸收不了. 2.炒肉菜烟大,有害健康,腌肉时不要放酱油,只放淀粉,盐,胡椒,注意戴口罩,多用烤箱 3.大润发停车方便,东西比远大新鲜,自助付款快. && dopamine induced电子产品成瘾症:很多人已经深受影响,social media是个net negative的事情.但是他们意识不到.要在现实生活中做事,做饭,健身,和朋友见面.做实实在在的事情.",150,self,海口,轻微雾霾,66.9,核心竞争力,"中午:宫保鸡丁/烤三文鱼.三文鱼很成功,鸡丁没炒够.",lily北京来海口
1/28/2019,1,"昨晚休息质量一般,还做了噩梦.需要做的第一点是减少社交媒体exposure(一次,晚6点左右).这个时候短暂check email,wechat.与其每天check 150次手机,要把这段时间完全活用,让人形成feedback,只有晚上才会用手机.吸取这些年来诸多social media的教训,最后对自己没帮助.2001年chinaren校友录,2001-2009 MSN, 2007年人人,2012-present wechat.2005-Present FB,2016-2017直播.对我本人来讲,最重要的成就,包括学历,工作机会,交易研究,学习Java和R,和这些社交媒体都没关系.Build的relationship也毫无意义.2018年一年戒除了直播,断绝了negative utility的来源,短视频和bilibili和youtube大致上没有不稳定utility. 2019年 1.每天把social media时间压缩到晚饭后 2.不为平台generate live feed, 去除时效性->变成记录 3.用教学视频代替社交网络,学各领域的知识. 4.发展多方面的兴趣,包括户外运动.加拿大户外运动多.5.禁止无脑互动,包括社交网络回复 6.不点赞,不评论 7.发信息都用语音,除非有些利益不相关的人,这些几个字即可 8.留很少availability给social media 9.拒绝无脑cult 10.贴近增加utility的东西,一是宠物,增加寿命. 11.delete linkedin account之后没有任何影响,节省了几百个小时. 12.禁止互动,主页,无脑pull lever的寻找多巴胺的行文. 去年禁了直播,今年禁wechat.&&学鸡蛋饼,酸辣汤,胡辣汤,韩国小菜,西班牙海鲜饭, 意大利lasagna, 匈牙利goulash, 俄罗斯罐牛,罐羊",0,self,海口,好,66.5,,,
1/29/2019,2,"把时间用在有意义的地方.1.学语言 2.学做饭,这个都是很好的conversation starter.刚看了lasagna的教程,肉是牛肉和猪肉碎+cheese和面,不值得卖的这个价格(100+),都不是真肉.",0,self,海口,好,66,,,
1/30/2019,3,"符合dev,T-1,前20>O%的,加大仓位做T.EOD回到1/4仓.US没有什么大意义,没法经常trade.保持所有和dev一致就可以.继续做关于yDev/mDev的研究,看看哪个更加统计有效.  && 中午做了石锅拌饭的菜(西葫芦,木耳,黄瓜,胡萝卜,豆芽,辣椒),晚上做了鸡蛋饼(面粉+鸡蛋+水). &&前20>Open+yDev+pmcoY这三个是重要参数. &&在精品超市买了橄榄油,",100,self,海口,"大好,没有雾霾",66.5,,厨艺上升,
1/31/2019,4,"现在回想起温哥华年代跟现在比并没什么不同.自力更生,自我生存,韧劲坚韧才是王道.持续反省自己,什么对自己有用,什么造成了负面的影响.负面的,例如直播,在2017年年底已经eradicate, 社交媒体暂时是每天20分钟, 到最后会转成need based. 1.利用适当沉默 2.破处坏习惯方法 time limit+fixed use schedule+deregularization+replacement with other interests+delay usage+only use on computer not phone. 1.kill new notification 2.only do at specific time. && persuasion: use mindless behavior. People act on scripts.提供原因可以增加compliance rate.&& Be mindful of feelings & actions.(日语N3停课)",0,self,海口,,66.4,,cut ,
2/1/2019,5,"1.防二手烟.200m中国人在21th世纪die of smoking. 2.去除无关紧要的人,防止负面影响,尤其如果造成负面rumination,负面reinforcement,切断源头, 拒绝投入investment,拒绝对自己控制不了的习惯的上瘾 ->这个会造成mood swing,helplessness,rumination.对一个object exposure太多->results in addiction.打卡/每天提交听力,这个会形成习惯,会对feedback成瘾,没有feedback会造成失落,和负面情绪.所以:1.不应该每天提交,这个更加造成成瘾,而应该每周提交 2.不利的addiction减少exposure. 3.Wealth可以分离人群,这个很重要,远离低SES人群.",0,family,海口,,,,,
2/2/2019,6,,0,family,海口,no smog,,,,
2/3/2019,7,"Reinstalled the system, now using Ubuntu for everything.",0,family,海口,no smog,,,,
2/4/2019,1,吃蛋白可以提高base metabolism rate. 不冷。,0,family,海口,no smog,,,,
2/5/2019,2,"Some people keep asking for investment. Reject it and let others invest. Phone activities reduce utility, cut these. Always judge a conversation by its information content. When content is severe lacking.",0,family,海口,no smog,65,,,
2/6/2019,3,"Aim at fixing ear humming. 清除一切造成此情况的原因. 1. cut social media to need based, computer based, time controlled. Communication : face to face. Posting on social media: limit to holidays etc.  2.cut exposure to toxic people. 主要是绷。Never available, hard to come by, always busy. 3. Cut most of language class activities, caused confusion+addiction in early 2019, cut 打卡 , cut that specific wechat. 中午吃的三文鱼，和葱姜蒜一起吃，温热杀菌。海鲜寒凉， 一般对身体不好， 除了鱼类以外不吃虾蟹壳类。看了电影流浪地球，based on 三体， 4D，对题材不感兴趣。",100,family,海口,no smog,65.4,,三文鱼，晚上小鸡顿蘑菇。,
2/7/2019,4,"解决问题。趋吉避凶。今年要做的事情。 1.trading methodology本格化, full spread model。2.去掉不利影响，避免受单个事件/个体/团体影响， fully diversify exposure, don’t be overexposed. 3. cut social media by at least 80% (usage time. Use as a tool). Post words, no pictures. 4.饮食要讲究，可以影响健康，心情和身体素质，自己做饭。花样要多，各国都会。Eat the best food at the current location.5.研究医学，营养学 ",0,family,海口,no smog,65.4,,中午牛肉+cheese，晚上红烧肉,
2/8/2019,5,周五，市场转弱，有些拉肚子。,0,family,海口,no smog,65.4,肚子一般(原因是cheese),中午烧烤羊肉串， 晚上辣椒。肚子疼，吃太多辣的。,
2/9/2019,6,"昨天拉肚子的原因是cheese. 跟alan聊收获如下， dairy对人有害， estrogen, IGF1, prostate+乳腺癌。前列腺不好就是牛奶引起的。 Stay away from icecream and cheese + yogurt. 番茄多吃，对前列腺好。 避免负面刺激。 番茄牛腩走起。 对自己造成恶性刺激的source要清除，不要好了伤疤忘了疼。不去做打卡，任何基于social media的活动都要cut。这个月美国市场不稳，美国不加仓， 主要做a50的intraday. Breach cutter overnight and during day. Cell: ultrapower saving mode → use as a tool only. ",0,family,海口,no smog,,,中午鱼香肉丝，晚上饺子。,
2/10/2019,7,"身体处于亚健康状态。 耳鸣持续了很久。手机改成黑白， 手机就是打电话接电话的东西。恢复物品本来的目的，像ancestor一样生活。第一步就是把手机的作用革除，转回电脑。从去年10年到现在2月，身体状态是下降的。这个状态是overexposure to 手机造成的。其中伤害点包括，朋友圈，打卡，几个不functional不satisfying的群组，对aplus的overexposure. 电子产品工具化： 1.改成黑白，脱离娱乐效果 2.用电子产品要问问什么，拒绝无脑使用 3.发展线下关系。学语言有这么大的negative externality还是第一次遇到，原因是朋友圈互动提高了互动频率，手机可以让人无选择connected, 没时间休息，这样exposure就大的多。自己生活：自己做饭，这个是第一点，注意饮食。手机回归打电话本质，微信回到短信本质。只是通讯录而已。微信也没办法像qq或者msn设定状态(busy隐身etc). 手机不应该作为聊天工具，人要见面。这次在海口住了三个礼拜。 有何收获？1.学做了炒牛肉和鱼香肉丝，鸡蛋饼 2.了解了牛奶的坏处 3.早晨从吃鸡蛋开始 4.手机回归接打电话的本质。5.social media不登录任何账户，force你登录的是建立addiction,不登录就没有addiction，例如wikipedia. 这个点很重要。Phone:Slot machine是不开心的源泉,sometimes you get something, sometimes you nothing。Do you want your phone to feel like a slot machine? Attention economy: companies maximize time spent on the app by making it like a slot machine. Variable schedule reward: hook model. Apps only want to hold on to your attention. Rewards of the hunt/rewards of the tribe(social). Scrolling: same as slot machine. 1.手机变成黑白 2.research variable schedule of awards. Variable ratio schedule – encouraging addiction. Fixed ratio reward: encourage quantity. Fixed interval: wage. Variable ratio: slot machine, salesmen. Variable interval: fishing, promotion.&&中午三文鱼，西兰花，红薯。三文鱼烤起来很快，就12分钟，上边放了cheese。这天状态不好主要因为头一天的饮食，猪肉，碳水，不健康。",100,family,海口,no smog,65.1,variable ratio reward,中午三文鱼，西兰花。晚上黑鲷鱼，柿子大头菜。,
2/11/2019,1,"Mind + body improvement. Body: 1. work out, do 100 sit up per day 2.learn knowledge on nutrition+cooking. 3.cut all virtual activities. Stay away from phone and social media. Social media needs to be grayscale. Cut out all things with variable rewards, keep only tool apps (map). && Don’t expose to unnecessary danger. Follow probability.  Don’t put your life into hands of underpaid people. 禄薄者不可与经乱。This is why plane is safer than bus. 人很多，局面容易失控的地方少去。不去免费的地方。早晨起来状态很好，quitting phone is very beneficial. 今天：手机+电脑都是黑白，做的事情很多。手机没浪费时间。有时间背点日语单词。 下午去游泳状态也不错。初步是2月底走。Titinus+chest pain(due to bad posture).  Ignore useless information-nothing to do with life.",0,family,海口,no smog,64.9,,中午：番茄牛肉，晚上：凉菜,
2/12/2019,2,HSBC issue: 1. set HK as main 2. cancel service charge(follow up with branch) 3. convert to advanced. Leave 100k RMB there. Check service charge next week to make sure. 中午：小鸡炖蘑菇里放葱姜蒜，大料，橘子皮，桂皮，蘑菇，黑胡椒，料酒，老抽生抽。收汤到最后盛汤喝。最近掌握了小鸡炖蘑菇，bake三文鱼，骨头汤。,0,family,海口,no smog,64.8,,中午：小鸡炖蘑菇。晚上：小鸡炖蘑菇+鸡蛋酱。,lily床上躺一天
2/13/2019,3,"门坏掉。凳子坐着也不舒服，高脚凳，无脑设计，前几天胸一直疼，因为posture不正确，家具设计不make sense。看了赖羽凡的健康视频：少吃糖多喝水。穷→买质量差的东西，坏的概率很高。有些人一点用都没用，制造噪音，弄坏东西，也不烧水，不洗衣服，不晾衣服，只会上网看垃圾消息，有什么贡献？远离这些垃圾，没有positive contribution的人/毫无用处，远离。垃圾一直在try to get investment out of people, increase negative utility.  穷人没办法规避negative utility，只能处于恶劣的环境（水污染，下水道污染，二手烟，雾霾，交通堵塞，负能量），接触低质量的人，造成负面utility，负面的环境，包括雾霾和二手烟。好的环境可以把这些垃圾净化出去。一直问问：人：提供了什么utility，positive or negative? 地方：环境，素质，信任度，食品安全，天气。软件：knowledge or spam? 远离低素质的环境，没有knowledge的人。不要invest in 这些人。之后：避免任何垃圾人和垃圾环境。 感觉不好立即pull out, 不要增加investment(2009年1月就是例子）。垃圾环境不要尝试改变，stay away.减低exposure,不出现，不接触，不invest，不动怒。愚人难教，欺而有功。小事情（1w rmb以下，不需要care)，不动声色，沉得住气，大不了用钱解决。1.先确定是谁造成的问题 2.再确定应该是谁最终负责任，如果都不是本方，就不用理会。现在唯一正事就是搞投资。 1.要有紧迫感，增加家里外的人手，亲人为主 2.机械不可靠，门，车这些东西都有可能出问题。",0,family,海口,no smog,64.8,避免垃圾,中午：白灼西兰花，胡萝卜丝炒青椒丝，红薯泥+黑胡椒+盐。 晚上：豆角粉丝炒肉，炒菜花,j早去钓鱼，回来修窗户。
2/14/2019,4,mineral和vitamin充足，情绪就会稳定。以前喝奶茶（高糖+咖啡因）就会影响神经系统。在台湾的时候缺钾，心跳就会加速。,0,family,海口,no smog,64.8,饮食影响情绪,中午：三文鱼（葱姜蒜），地瓜。晚上：炒豆芽，排骨。,
2/15/2019,5,"最近吃的比较健康， 体重一直下降，戒除外食+糖+面包+牛奶，体重减轻，新陈代谢加快。2013已经减到63公斤，然后逐渐又增加到70. 2019年年初开始关注饮食。饿得时候都吃水果，坚果。那次在顺德也是跟吃的有关系，吃了一个排骨盅饭，牛仔骨。外面做饭放的味精多，会刺激神经。密切注意饮食对健康的影响，要多吃坚果和水果。家庭紧急事件： 1.中风/心肌梗塞 && 下午去游泳，在休息室看了个电影，影响心情稳定。回来后吃了苹果，橘子，2根香蕉，石榴，两个核桃。本来想吃面包，但是不好，都用real food代替，减少screentime非常重要，电视，手机，电脑都会降低生活质量。心情有波动的时候，一般是吃的东西的问题。水果，坚果，要吃好，不吃加工食物，远离面粉白面。要吃各种水果蔬菜坚果。要conscious, 每件事是increase还是decrease utility. 坚果：核桃，腰果，杏仁，榛子，花生。 && Fermentation(make kimchi,酸菜, ferment broccoli) && ",0,family,海口,no smog,64.5,,中午：鱼香牛肉丝（用黄油炒的），晚上豆腐，钓的鱼,
2/16/2019,6,"微信头像改成原始头像。 现在才明白为什么以前有人这么做. 因为这东西本身就没什么用。塑造虚拟形象完全没意义，只是social media公司让你增加investment而已，这也是过去十几年来的。把微信做电话簿用。上面的点赞和交流都是虚的，不能代替真实社交。昨天吃了大量的水果蔬菜，有效缓解心理波动。 少接触刺激源，例如各种screen（电影电视电脑手机），远离任何虚拟，踏踏实实生活在。不要log in任何social media account， 这个会被manipulate, 不断推荐给你垃圾视频，不会给你个红点强迫你去点。把focus on social media的人用生活方式淘汰。Always think about if something is worth your attention. &&不用任何颜色。&&多喝水，缺水造成fatigue. && 用美团跑腿让美团把车检信送到了银华。手机只是作为工具使用而不是无目的使用。任何电脑推荐的东西都不要，这些都在manipulate,FB的friend request, YT的下一个video，这些都不是使用工具的初衷。不登录任何媒体，屏蔽自动登录，也没法回复，也不会收到通知，节省时间。Nir Eyal的hooked – Trigger(external vs internal trigger, “buy now”, emotional trigger- boredom, lonesome, lost, confused, uncertain),action,reward,investment. 越active的人越需要virtual validation，这些人是很弱，现实生活没action. Action – done in anticipation of the reward. (needs to be simple) Action: Motivation, Ability(capacity), Trigger.",250,family,海口,no smog,64.4,,中午：猪蹄，晚上：猪蹄+鱼香茄子+豆角,
2/17/2019,7,"中午吃270克的三文鱼，炒了一个鱼香西兰花茄子，吃太多，太辣，对胃肠不好。橄榄油冒烟呛人，咳嗽。炒菜不能用橄榄油，换别的油试试，牛油果油和walnut oil. && 买了牛油果油。研究了胆固醇，并不是有害的，sugar, inflammation, stress才是元凶。血管发炎的时候， 胆固醇去救难，降胆固醇是治标不治本，又是短箭法，永远不解决问题。",235,family,海口,no smog,64.4,,中午：三文鱼（没吃葱姜蒜，吃多了，消化不好，下次注意和生蒜一起吃），鱼香茄子+西兰花，太辣。晚上：春饼。,
2/18/2019,1,"看了christine chen和徐化普关于胆固醇的视频。自由基(free radical)和糖类是问题，胆固醇在修复血管壁，血管问题来源于发炎。慢性发炎来源于吃氧化食物。 1.食用油，用olive, avocado和coconut 2.糖类造成血管壁发炎,LDL增加。测量：OX-LDL,HDL, CRP(C reactive protein, measure inflammation in body), APO-A/APO-B. && stand up when feeling any negative emotions. ",0,family,海口,no smog,,,中午：番茄牛腩,
